CTPRVN_NM,SGG_NM,EMD_NM,EMD_CD,X,Y,TOT
전라북도,남원시,향교동,45190111,14180046.82,4220930.14,1
전라북도,김제시,공덕면,45210380,14127013.85,4284921.169,1
전라북도,완주군,운주면,45710380,14175229.43,4310353.708,1
전라북도,장수군,장계면,45740335,14206390.33,4263022.923,1
전라북도,고창군,고창읍,45790250,14104629.85,4222751.985,1
전라남도,목포시,해안동4가,46110145,14068565.95,4134235.595,1
전라남도,여수시,중앙동,46130107,14219784.7,4128392.776,1
전라남도,여수시,중흥동,46130144,14214096.29,4141166.777,1
전라남도,여수시,적량동,46130145,14216209.06,4142719.074,1
전라남도,담양군,대전면,46710410,14125075.45,4202626.025,1
전라남도,고흥군,고흥읍,46770250,14169670.09,4109692.591,2
전라남도,장흥군,장흥읍,46800250,14128040.31,4120410.663,1
전라남도,강진군,강진읍,46810250,14108693.7,4113775.67,1
전라남도,강진군,군동면,46810310,14117912.45,4115685.055,1
경상북도,포항시 북구,학산동,47113112,14401569.46,4308048.078,1
경상북도,경주시,동천동,47130126,14385626.84,4280354.026,1
경상북도,경주시,안강읍,47130253,14380128.71,4297359.227,1
경상북도,안동시,남선면,47170370,14329327.19,4370501.498,1
경상북도,구미시,원평동,47190101,14285912.49,4318198.433,1
경상북도,구미시,산동면,47190350,14299446.92,4325321.809,1
경상북도,영주시,부석면,47210390,14321878.84,4437753.511,1
경상북도,영천시,도동,47230111,14352236.77,4292458.298,1
경상북도,상주시,함창읍,47250250,14270902.73,4376520.889,1
경상북도,문경시,점촌동,47280101,14271106.97,4382872.095,1
경상북도,경산시,정평동,47290111,14329939.34,4278000.85,1
경상북도,의성군,금성면,47730370,14325145.61,4336422.822,1
경상북도,청도군,청도읍,47820253,14333114.28,4249530.987,1
경상북도,고령군,대가야읍,47830253,14276826.92,4264109.796,1
경상북도,칠곡군,왜관읍,47850250,14294629.44,4295072.845,1
경상북도,예천군,효자면,47900420,14295976.24,4409825.836,1
경상북도,울진군,울진읍,47930250,14398614.24,4440583.655,1
경상북도,울진군,근남면,47930330,14400333.26,4432286.525,1
경상남도,창원시 의창구,도계동,48121105,14319897.74,4199232.045,1
경상남도,창원시 의창구,동읍,48121250,14326313.64,4202133.302,1
경상남도,창원시 마산회원구,양덕동,48127105,14314020.93,4195153.098,1
경상남도,창원시 진해구,석동,48129140,14326985.7,4185732.649,1
경상남도,창원시 진해구,용원동,48129164,14338593.12,4175271.841,1
경상남도,진주시,봉곡동,48170113,14257149.35,4190327.65,1
경상남도,김해시,대동면,48250370,14356586.93,4198987.644,1
경상남도,밀양시,내이동,48270102,14330683.8,4232928.662,1
경상남도,거제시,사등면,48310360,14307874.71,4150906.754,1
경상남도,양산시,하북면,48330340,14369648.64,4226863.67,1
경상남도,고성군,고성읍,48820250,14283908.55,4161157.382,1
경상남도,남해군,창선면,48840390,14255100.93,4141823.654,1
제주특별자치도,제주시,오라삼동,50110121,14082476.5,3961128.422,1
제주특별자치도,제주시,연동,50110137,14081139.43,3956298.001,3
제주특별자치도,제주시,한경면,50110310,14047900.18,3939286.492,1
제주특별자치도,제주시,추자면,50110320,14061099.96,4021919.948,1
제주특별자치도,서귀포시,서귀동,50130101,14088462.5,3928400.009,1
제주특별자치도,서귀포시,법환동,50130102,14083299.34,3927575.082,2
제주특별자치도,서귀포시,성산읍,50130259,14122654.56,3950980.709,1
제주특별자치도,서귀포시,표선면,50130320,14109901.52,3946017.6,2
